"id","respondent_type","instansi","unitkerja","target","data_populasi","data_clean","data_blast","data_blast_email","perolehan","perolehan_capi","perolehan_qrcode","persentase_capaian_target","persentase_response_rate_online","persentase_target_dari_populasi","persentase_clean_dari_populasi","jumlah_capi","jumlah_qr"
NA,"EKSTERNAL","PEMERINTAH KABUPATEN YAHUKIMO","TOTAL",30,0,0,0,0,0,60,0,200,0,Inf,NA,60,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN YALIMO","TOTAL",30,0,0,0,0,0,60,0,200,0,Inf,NA,60,0
NA,"EKSTERNAL","PEMERINTAH KOTA AMBON","TOTAL",422,6077,4364,3508,395,261,0,17,65.88,6.69,6.94,71.81,0,17
NA,"EKSTERNAL","PEMERINTAH KOTA BALIKPAPAN","TOTAL",499,110452,42145,24612,33,874,0,0,175.15,3.55,0.45,38.16,0,0
NA,"EKSTERNAL","PEMERINTAH KOTA BANDA ACEH","TOTAL",481,11573,4608,2509,1805,173,0,0,35.97,4.01,4.16,39.82,0,0
NA,"EKSTERNAL","PEMERINTAH KOTA BANDAR LAMPUNG","TOTAL",420,2587,2046,1700,31,99,0,3,24.29,5.72,16.24,79.09,0,3
NA,"EKSTERNAL","PEMERINTAH KOTA BANDUNG","TOTAL",416,2443,1451,1277,12,204,0,81,68.51,15.83,17.03,59.39,0,81
NA,"EKSTERNAL","PEMERINTAH KOTA BANJAR","TOTAL",450,4389,1867,1573,1,485,0,295,173.33,30.81,10.25,42.54,0,295
NA,"EKSTERNAL","PEMERINTAH KOTA BANJARBARU","TOTAL",469,7121,6708,6063,64,444,0,0,94.67,7.25,6.59,94.2,0,0
NA,"EKSTERNAL","PEMERINTAH KOTA BANJARMASIN","TOTAL",475,8850,8099,6769,3,777,0,370,241.47,11.47,5.37,91.51,0,370
NA,"EKSTERNAL","PEMERINTAH KOTA BATAM","TOTAL",498,72268,38896,20768,5451,653,0,67,144.58,2.49,0.69,53.82,0,67
NA,"EKSTERNAL","PEMERINTAH KOTA BATU","TOTAL",466,6651,4849,3825,534,306,0,0,65.67,7.02,7.01,72.91,0,0
NA,"EKSTERNAL","PEMERINTAH KOTA BAUBAU","TOTAL",479,10437,9141,5932,2306,432,0,0,90.19,5.24,4.59,87.58,0,0
NA,"EKSTERNAL","PEMERINTAH KOTA BEKASI","TOTAL",441,3680,2732,2277,40,120,0,2,27.66,5.18,11.98,74.24,0,2
NA,"EKSTERNAL","PEMERINTAH KOTA BENGKULU","TOTAL",481,11533,10113,7928,281,554,0,0,115.18,6.75,4.17,87.69,0,0
NA,"EKSTERNAL","PEMERINTAH KOTA BIMA","TOTAL",69,82,60,82,6,145,0,114,375.36,164.77,84.15,73.17,0,114
NA,"EKSTERNAL","PEMERINTAH KOTA BINJAI","TOTAL",469,7194,4966,3620,33,736,0,484,260.13,20.15,6.52,69.03,0,484
NA,"EKSTERNAL","PEMERINTAH KOTA BITUNG","TOTAL",422,2669,2028,1207,625,83,0,0,19.67,4.53,15.81,75.98,0,0
NA,"EKSTERNAL","PEMERINTAH KOTA BLITAR","TOTAL",462,5845,4100,3388,13,324,0,18,74.03,9.53,7.9,70.15,0,18
NA,"EKSTERNAL","PEMERINTAH KOTA BOGOR","TOTAL",466,6629,4405,3618,290,280,0,0,60.09,7.16,7.03,66.45,0,0
NA,"EKSTERNAL","PEMERINTAH KOTA BONTANG","TOTAL",492,26381,19245,12380,634,832,0,0,169.11,6.39,1.86,72.95,0,0
NA,"EKSTERNAL","PEMERINTAH KOTA BUKITTINGGI","TOTAL",471,7749,6871,5077,1003,303,0,43,73.46,4.98,6.08,88.67,0,43
NA,"EKSTERNAL","PEMERINTAH KOTA CILEGON","TOTAL",488,17973,6359,5112,39,1625,0,1241,587.3,31.55,2.72,35.38,0,1241
NA,"EKSTERNAL","PEMERINTAH KOTA CIMAHI","TOTAL",493,27701,10888,7745,140,370,0,3,75.66,4.69,1.78,39.31,0,3
NA,"EKSTERNAL","PEMERINTAH KOTA CIREBON","TOTAL",449,4320,4122,3445,8,218,0,0,48.55,6.31,10.39,95.42,0,0
NA,"EKSTERNAL","PEMERINTAH KOTA DENPASAR","TOTAL",474,8687,6869,5349,696,599,0,146,157.17,9.91,5.46,79.07,0,146
NA,"EKSTERNAL","PEMERINTAH KOTA DEPOK","TOTAL",482,12168,8303,7464,23,493,0,0,102.28,6.58,3.96,68.24,0,0
NA,"EKSTERNAL","PEMERINTAH KOTA DUMAI","TOTAL",478,10131,3772,2611,30,431,0,222,136.61,16.32,4.72,37.23,0,222
NA,"EKSTERNAL","PEMERINTAH KOTA GORONTALO","TOTAL",422,2652,412,353,23,63,205,26,69.67,16.76,15.91,15.54,205,26
NA,"EKSTERNAL","PEMERINTAH KOTA GUNUNG SITOLI","TOTAL",494,32481,1390,1095,132,142,0,0,28.74,11.57,1.52,4.28,0,0
NA,"EKSTERNAL","PEMERINTAH KOTA JAMBI","TOTAL",482,12255,6364,4607,900,317,0,3,66.39,5.76,3.93,51.93,0,3
