"id","respondent_type","instansi","unitkerja","target","data_populasi","data_clean","data_blast","data_blast_email","perolehan","perolehan_capi","perolehan_qrcode","persentase_capaian_target","persentase_response_rate_online","persentase_target_dari_populasi","persentase_clean_dari_populasi","jumlah_capi","jumlah_qr"
NA,"INTERNAL","PEMERINTAH KABUPATEN TULANG BAWANG","TOTAL",399,1943,1549,1371,1,814,0,0,204.01,59.33,20.54,79.72,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN TULANG BAWANG BARAT","TOTAL",200,335,275,524,1,169,0,0,84.5,32.19,59.7,82.09,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN TULUNGAGUNG","TOTAL",317,865,569,1458,2,323,0,0,101.89,22.12,36.65,65.78,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN WAJO","TOTAL",30,4814,993,987,0,97,0,0,323.33,9.83,0.62,20.63,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN WAKATOBI","TOTAL",380,1567,767,732,0,275,0,0,72.37,37.57,24.25,48.95,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN WAROPEN","TOTAL",229,424,357,279,10,42,0,0,18.34,14.53,54.01,84.2,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN WAY KANAN","TOTAL",404,2073,1235,1022,5,314,0,0,77.72,30.57,19.49,59.58,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN WONOGIRI","TOTAL",399,2329,1758,1611,2,768,0,0,192.48,47.61,17.13,75.48,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN WONOSOBO","TOTAL",472,8126,1415,1276,3,418,0,0,88.56,32.68,5.81,17.41,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN YAHUKIMO","TOTAL",179,280,204,158,2,31,0,0,17.32,19.38,63.93,72.86,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN YALIMO","TOTAL",30,0,0,6,0,1,0,0,3.33,16.67,Inf,NA,0,0
NA,"INTERNAL","PEMERINTAH KOTA AMBON","TOTAL",385,1653,1384,1384,8,174,0,0,45.19,12.5,23.29,83.73,0,0
NA,"INTERNAL","PEMERINTAH KOTA BALIKPAPAN","TOTAL",466,6623,1263,1201,5,346,0,0,74.25,28.69,7.04,19.07,0,0
NA,"INTERNAL","PEMERINTAH KOTA BANDA ACEH","TOTAL",381,1590,1348,1179,17,534,0,0,140.16,44.65,23.96,84.78,0,0
NA,"INTERNAL","PEMERINTAH KOTA BANDAR LAMPUNG","TOTAL",444,3889,3370,2915,10,291,0,0,65.54,9.95,11.42,86.65,0,0
NA,"INTERNAL","PEMERINTAH KOTA BANDUNG","TOTAL",480,11221,3879,3222,23,983,0,0,204.79,30.29,4.28,34.57,0,0
NA,"INTERNAL","PEMERINTAH KOTA BANJAR","TOTAL",363,1315,1056,1132,2,428,0,0,117.91,37.74,27.6,80.3,0,0
NA,"INTERNAL","PEMERINTAH KOTA BANJARBARU","TOTAL",463,5961,2066,1712,2,413,0,0,89.2,24.1,7.77,34.66,0,0
NA,"INTERNAL","PEMERINTAH KOTA BANJARMASIN","TOTAL",463,6088,1606,1488,2,581,0,0,125.49,38.99,7.61,26.38,0,0
NA,"INTERNAL","PEMERINTAH KOTA BATAM","TOTAL",416,2438,2297,2356,2,557,0,0,133.89,23.62,17.06,94.22,0,0
NA,"INTERNAL","PEMERINTAH KOTA BATU","TOTAL",410,2238,1753,1755,1,511,0,0,124.63,29.1,18.32,78.33,0,0
NA,"INTERNAL","PEMERINTAH KOTA BAUBAU","TOTAL",363,1317,1095,938,4,375,0,0,103.31,39.81,27.56,83.14,0,0
